Date,Name,Year,Letterboxd URI,Rating,Backdrop
2024-03-10,Spotlight,2015,https://boxd.it/a84k,3.5,https://image.tmdb.org/t/p/w500/8FbbcmwmpGd7brfiC7f7lWFNGdi.jpg
2024-03-11,The Batman,2022,https://boxd.it/eDGs,4,https://image.tmdb.org/t/p/w500/tRS6jvPM9qPrrnx2KRp3ew96Yot.jpg
2024-03-12,Top Gun: Maverick,2022,https://boxd.it/cjr4,4.5,https://image.tmdb.org/t/p/w500/AaV1YIdWKnjAIAOe8UUKBFm327v.jpg
2024-03-13,The Menu,2022,https://boxd.it/lScm,4.5,https://image.tmdb.org/t/p/w500/mSyQoValhBsJdq3JNGXJww2Q5yL.jpg
2024-03-14,Avatar: The Way of Water,2022,https://boxd.it/2E2E,3.5,https://image.tmdb.org/t/p/w500/8rpDcsfLJypbO6vREc0547VKqEv.jpg
2024-03-15,El Camino: A Breaking Bad Movie,2019,https://boxd.it/kv0q,4,https://image.tmdb.org/t/p/w500/yzpZVgaTZzDrAP1yVeCbKZH9jmA.jpg
2024-03-16,Nope,2022,https://boxd.it/sDCe,4.5,https://image.tmdb.org/t/p/w500/5N8LOeRzt7LcZIhPbNVaCsVOPdT.jpg
2024-03-17,Glass Onion,2022,https://boxd.it/oCkK,4,https://image.tmdb.org/t/p/w500/dKqa850uvbNSCaQCV4Im1XlzEtQ.jpg
2024-03-18,TÁR,2022,https://boxd.it/uNIA,5,https://image.tmdb.org/t/p/w500/fwhN9a0oRZvzc2tDuu5BZ59MOPz.jpg
2024-03-19,The Fabelmans,2022,https://boxd.it/ugoM,5,https://image.tmdb.org/t/p/w500/xQyGkQ8ICa4lgifGr3oZjkm3AJ2.jpg
2024-03-20,Aftersun,2022,https://boxd.it/Arw0,5,https://image.tmdb.org/t/p/w500/d5l2ITQvpgP0dcWCAG6PUvp8YZw.jpg
2024-03-21,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,4.5,https://image.tmdb.org/t/p/w500/s0OrExdg7i3RLR7oqzHRk4q2kL4.jpg
2024-03-22,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/fVNI,3.5,https://image.tmdb.org/t/p/w500/5YZbUmjbMa3ClvSW1Wj3D6XGolb.jpg
2024-03-23,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,5,https://image.tmdb.org/t/p/w500/4HodYYKEIsGOdinkGi2Ucz6X9i0.jpg
2024-03-24,Indiana Jones and the Dial of Destiny,2023,https://boxd.it/b8vM,3,https://image.tmdb.org/t/p/w500/35z8hWuzfFUZQaYog8E9LsXW3iI.jpg
2024-03-25,Mission: Impossible – Dead Reckoning Part One,2023,https://boxd.it/l7zS,2.5,https://image.tmdb.org/t/p/w500/628Dep6AxEtDxjZoGP78TsOxYbK.jpg
2024-03-26,The Departed,2006,https://boxd.it/28MA,5,https://image.tmdb.org/t/p/w500/6WRrGYalXXveItfpnipYdayFkQB.jpg
